data,D,R,A,D_in,R_in,A_in,D_in_next,R_in_next,A_in_next
2020-02-25T18:00:00,2,0,0,2,0,0,0,0,0
2020-02-26T18:00:00,2,0,0,0,0,0,1,0,0
2020-02-27T18:00:00,3,0,0,1,0,0,0,0,0
2020-02-28T18:00:00,3,0,0,0,0,0,6,0,0
2020-02-29T17:00:00,9,0,0,6,0,0,5,0,0
2020-03-01T17:00:00,14,0,0,5,0,0,4,0,0
2020-03-02T18:00:00,18,0,0,4,0,0,3,0,0
2020-03-03T18:00:00,21,0,0,3,0,0,8,0,0
2020-03-04T17:00:00,29,0,0,8,0,0,12,0,0
2020-03-05T17:00:00,41,0,0,12,0,0,14,0,0
2020-03-06T17:00:00,55,0,0,14,0,0,24,0,0
2020-03-07T18:00:00,79,0,0,24,0,0,25,0,0
2020-03-08T18:00:00,104,0,0,25,0,0,25,2,0
2020-03-09T18:00:00,129,2,0,25,2,0,49,2,0
2020-03-10T18:00:00,178,4,0,49,2,0,64,0,0
2020-03-11T17:00:00,242,4,0,64,0,0,55,0,1
2020-03-12T17:00:00,297,4,1,55,0,1,200,2,0
2020-03-13T17:00:00,497,6,1,200,2,0,151,0,0
2020-03-14T17:00:00,648,6,1,151,0,0,205,0,0
2020-03-15T17:00:00,853,6,1,205,0,0,156,0,2
2020-03-16T17:00:00,1009,6,3,156,0,2,319,-5,0
2020-03-17T17:00:00,1328,1,3,319,-5,0,305,8,1
2020-03-18T17:00:00,1633,9,4,305,8,1,365,0,2
2020-03-19T17:00:00,1998,9,6,365,0,2,375,0,0
2020-03-20T17:00:00,2373,9,6,375,0,0,424,0,2
2020-03-21T17:00:00,2797,9,8,424,0,2,760,0,8
2020-03-22T17:00:00,3557,9,16,760,0,8,887,0,5
2020-03-23T17:00:00,4444,9,21,887,0,5,802,0,7
2020-03-24T17:00:00,5246,9,28,802,0,7,303,0,2
2020-03-25T17:00:00,5549,9,30,303,0,2,1199,103,19
2020-03-26T17:00:00,6748,112,49,1199,103,19,626,113,9
2020-03-27T17:00:00,7374,225,58,626,113,9,604,0,10
2020-03-28T17:00:00,7978,225,68,604,0,10,245,254,18
2020-03-29T17:00:00,8223,479,86,245,254,18,651,157,22
2020-03-30T17:00:00,8874,636,108,651,157,22,83,459,20
2020-03-31T17:00:00,8957,1095,128,83,459,20,172,341,18
2020-04-01T17:00:00,9129,1436,146,172,341,18,93,313,12
2020-04-02T17:00:00,9222,1749,158,93,313,12,112,273,10
2020-04-03T17:00:00,9334,2022,168,112,273,10,-246,485,18
2020-04-04T17:00:00,9088,2507,186,-246,485,18,-239,491,18
