data,D,R,A,D_in,R_in,A_in,D_in_next,R_in_next,A_in_next
2020-02-25T18:00:00,0,0,0,0,0,0,0,0,0
2020-02-26T18:00:00,0,0,0,0,0,0,1,0,0
2020-02-27T18:00:00,1,0,0,1,0,0,0,0,0
2020-02-28T18:00:00,1,0,0,0,0,0,2,0,0
2020-02-29T17:00:00,3,0,0,2,0,0,1,0,0
2020-03-01T17:00:00,4,0,0,1,0,0,0,0,0
2020-03-02T18:00:00,4,0,0,0,0,0,2,0,0
2020-03-03T18:00:00,6,0,0,2,0,0,4,0,0
2020-03-04T17:00:00,10,0,0,4,0,0,0,0,0
2020-03-05T17:00:00,10,0,0,0,0,0,12,1,0
2020-03-06T17:00:00,22,1,0,12,1,0,0,0,0
2020-03-07T18:00:00,22,1,0,0,0,0,12,0,0
2020-03-08T18:00:00,34,1,0,12,0,0,55,0,0
2020-03-09T18:00:00,89,1,0,55,0,0,172,0,0
2020-03-10T18:00:00,261,1,0,172,0,0,180,0,0
2020-03-11T17:00:00,441,1,0,180,0,0,173,0,0
2020-03-12T17:00:00,614,1,0,173,0,0,186,0,0
2020-03-13T17:00:00,800,1,0,186,0,0,25,0,1
2020-03-14T17:00:00,825,1,1,25,0,1,36,0,1
2020-03-15T17:00:00,861,1,2,36,0,1,49,0,1
2020-03-16T17:00:00,910,1,3,49,0,1,62,0,1
2020-03-17T17:00:00,972,1,4,62,0,1,80,0,0
2020-03-18T17:00:00,1052,1,4,80,0,0,92,0,2
2020-03-19T17:00:00,1144,1,6,92,0,2,101,0,3
2020-03-20T17:00:00,1245,1,9,101,0,3,67,0,4
2020-03-21T17:00:00,1312,1,13,67,0,4,69,0,0
2020-03-22T17:00:00,1381,1,13,69,0,0,44,0,11
2020-03-23T17:00:00,1425,1,24,44,0,11,133,0,8
2020-03-24T17:00:00,1558,1,32,133,0,8,131,0,2
2020-03-25T17:00:00,1689,1,34,131,0,2,146,0,7
2020-03-26T17:00:00,1835,1,41,146,0,7,158,0,11
2020-03-27T17:00:00,1993,1,52,158,0,11,142,0,13
2020-03-28T17:00:00,2135,1,65,142,0,13,187,0,7
2020-03-29T17:00:00,2322,1,72,187,0,7,177,0,5
2020-03-30T17:00:00,2499,1,77,177,0,5,270,0,13
2020-03-31T17:00:00,2769,1,90,270,0,13,-660,893,14
2020-04-01T17:00:00,2109,894,104,-660,893,14,65,195,19
2020-04-02T17:00:00,2174,1089,123,65,195,19,251,104,16
2020-04-03T17:00:00,2425,1193,139,251,104,16,208,90,22
2020-04-04T17:00:00,2633,1283,161,208,90,22,230,44,18
2020-04-05T17:00:00,2863,1327,179,230,44,18,253,51,8
2020-04-06T17:00:00,3116,1378,187,253,51,8,261,113,16
2020-04-07T17:00:00,3377,1491,203,261,113,16,186,130,15
2020-04-08T17:00:00,3563,1621,218,186,130,15,99,115,19
2020-04-09T17:00:01,3662,1736,237,99,115,19,137,37,10
2020-04-10T17:00:02,3799,1773,247,137,37,10,-18,182,13
2020-04-11T17:00:03,3781,1955,260,-18,182,13,-3,168,13
2020-04-12T17:00:04,3778,2123,273,-3,168,13,20,112,12
2020-04-13T17:00:05,3798,2235,285,20,112,12,-101,280,14
2020-04-14T17:00:06,3697,2515,299,-101,280,14,-73,233,10
2020-04-15T17:00:07,3624,2748,309,-73,233,10,-89,275,12
2020-04-16T17:00:08,3535,3023,321,-89,275,12,-187,366,15
2020-04-17T17:00:09,3348,3389,336,-187,366,15,-299,458,10
