data,D,R,A,D_in,R_in,A_in,D_in_next,R_in_next,A_in_next
2020-02-25T18:00:00,3,14,0,3,14,0,9,1,0
2020-02-26T18:00:00,12,15,0,9,1,0,18,1,0
2020-02-27T18:00:00,30,16,0,18,1,0,2,0,0
2020-02-28T18:00:00,32,16,0,2,0,0,31,0,0
2020-02-29T17:00:00,63,16,0,31,0,0,51,0,0
2020-03-01T17:00:00,114,16,0,51,0,0,29,0,0
2020-03-02T18:00:00,143,16,0,29,0,0,37,0,0
2020-03-03T18:00:00,180,16,0,37,0,0,66,0,0
2020-03-04T17:00:00,246,16,0,66,0,0,220,0,0
2020-03-05T17:00:00,466,16,0,220,0,0,187,1,0
2020-03-06T17:00:00,653,17,0,187,1,0,128,1,0
2020-03-07T18:00:00,781,18,0,128,1,0,241,0,0
2020-03-08T18:00:00,1022,18,0,241,0,0,134,0,2
2020-03-09T18:00:00,1156,18,2,134,0,2,281,0,0
2020-03-10T18:00:00,1437,18,2,281,0,0,443,7,1
2020-03-11T17:00:00,1880,25,3,443,7,1,170,0,0
2020-03-12T17:00:00,2050,25,3,170,0,0,1572,21,4
2020-03-13T17:00:00,3622,46,7,1572,21,4,908,0,2
2020-03-14T17:00:00,4530,46,9,908,0,2,1208,0,2
2020-03-15T17:00:00,5738,46,11,1208,0,2,1450,21,6
2020-03-16T17:00:00,7188,67,17,1450,21,6,1978,0,7
2020-03-17T17:00:00,9166,67,24,1978,0,7,3028,38,4
2020-03-18T17:00:00,12194,105,28,3028,38,4,2969,8,16
2020-03-19T17:00:00,15163,113,44,2969,8,16,4438,67,23
2020-03-20T17:00:00,19601,180,67,4438,67,23,2295,53,17
2020-03-21T17:00:00,21896,233,84,2295,53,17,2617,33,10
2020-03-22T17:00:00,24513,266,94,2617,33,10,4154,0,29
2020-03-23T17:00:00,28667,266,123,4154,0,29,919,2977,34
2020-03-24T17:00:00,29586,3243,157,919,2977,34,3984,304,49
2020-03-25T17:00:00,33570,3547,206,3984,304,49,4428,2126,61
2020-03-26T17:00:00,37998,5673,267,4428,2126,61,5873,985,75
2020-03-27T17:00:00,43871,6658,342,5873,985,75,4910,1823,91
2020-03-28T17:00:00,48781,8481,433,4910,1823,91,3570,730,100
2020-03-29T17:00:00,52351,9211,533,3570,730,100,389,4289,112
2020-03-30T17:00:00,52740,13500,645,389,4289,112,2193,2600,130
2020-03-31T17:00:00,54933,16100,775,2193,2600,130,3319,2600,145
2020-04-01T17:00:00,58252,18700,920,3319,2600,145,2995,3740,187
2020-04-02T17:00:00,61247,22440,1107,2995,3740,187,4062,2135,168
2020-04-03T17:00:00,65309,24575,1275,4062,2135,168,2939,1825,169
2020-04-04T17:00:00,68248,26400,1444,2939,1825,169,1591,2300,140
2020-04-05T17:00:00,69839,28700,1584,1591,2300,140,3025,0,226
2020-04-06T17:00:00,72864,28700,1810,3025,0,226,-3298,7381,206
2020-04-07T17:00:00,69566,36081,2016,-3298,7381,206,-4919,10219,333
2020-04-08T17:00:00,64647,46300,2349,-4919,10219,333,-1480,6107,258
2020-04-09T17:00:01,63167,52407,2607,-1480,6107,258,2324,1506,160
2020-04-10T17:00:02,65491,53913,2767,2324,1506,160,-719,3487,-31
2020-04-11T17:00:03,64772,57400,2736,-719,3487,-31,-240,2900,286
2020-04-12T17:00:04,64532,60300,3022,-240,2900,286,-1954,4000,172
2020-04-13T17:00:05,62578,64300,3194,-1954,4000,172,-2713,3900,100
2020-04-14T17:00:06,59865,68200,3294,-2713,3900,100,-1516,4400,510
2020-04-15T17:00:07,58349,72600,3804,-1516,4400,510,-1703,4400,248
2020-04-16T17:00:08,56646,77000,4052,-1703,4400,248,-2715,6114,300
2020-04-17T17:00:09,53931,83114,4352,-2715,6114,300,-448,2286,107
2020-04-18T17:00:10,53483,85400,4459,-448,2286,107,-885,2600,127
2020-04-19T17:00:11,52598,88000,4586,-885,2600,127,-1895,3500,276
2020-04-20T17:00:12,50703,91500,4862,-1895,3500,276,-2645,3700,171
2020-04-21T17:00:13,48058,95200,5033,-2645,3700,171,-2089,4200,246
2020-04-22T17:00:14,45969,99400,5279,-2089,4200,246,-1715,3900,296
2020-04-23T17:00:15,44254,103300,5575,-1715,3900,296,-4815,6500,185
2020-04-24T17:00:16,39439,109800,5760,-4815,6500,185,1397,0,117
2020-04-25T17:00:17,40836,109800,5877,1397,0,117,-1042,2200,99
2020-04-26T17:00:18,39794,112000,5976,-1042,2200,99,-1662,2500,150
2020-04-27T17:00:19,38132,114500,6126,-1662,2500,150,-1934,2900,188
2020-04-28T17:00:20,36198,117400,6314,-1934,2900,188,-1526,3000,153
2020-04-29T17:00:21,34672,120400,6467,-1526,3000,153,-1786,3100,156
2020-04-30T17:00:22,32886,123500,6623,-1786,3100,156,-2445,3400,113
2020-05-01T17:00:00,30441,126900,6736,-2445,3400,113,-1286,2100,76
2020-05-02T17:00:00,29155,129000,6812,-1286,2100,76,-957,1600,54
2020-05-03T17:00:00,28198,130600,6866,-957,1600,54,-1739,2100,127
2020-05-04T17:00:00,26459,132700,6993,-1739,2100,127,-1545,2400,0
2020-05-05T17:00:00,24914,135100,6993,-1545,2400,0,-3927,4800,282
2020-05-06T17:00:00,20987,139900,7275,-3927,4800,282,-649,1800,117
2020-05-07T17:00:00,20338,141700,7392,-649,1800,117,1040,0,118
2020-05-08T17:00:00,21378,141700,7510,1040,0,118,-903,1600,39
2020-05-09T17:00:01,20475,143300,7549,-903,1600,39,-565,1100,20
2020-05-10T17:00:02,19910,144400,7569,-565,1100,20,-612,1217,92
2020-05-11T17:00:03,19298,145617,7661,-612,1217,92,-1065,1583,77
2020-05-12T17:00:04,18233,147200,7738,-1065,1583,77,-696,1500,123
2020-05-13T17:00:05,17537,148700,7861,-696,1500,123,-1243,1600,23
2020-05-14T17:00:06,16294,150300,7884,-1243,1600,23,-555,1297,13
2020-05-15T17:00:07,15739,151597,7897,-555,1297,13,-525,1003,41
2020-05-16T17:00:08,15214,152600,7938,-525,1003,41,-818,1411,24
2020-05-17T17:00:09,14396,154011,7962,-818,1411,24,-889,1030,41
2020-05-18T17:00:10,13507,155041,8003,-889,1030,41,509,640,78
2020-05-19T17:00:11,14016,155681,8081,509,640,78,-653,1285,63
2020-05-20T17:00:12,13363,156966,8144,-653,1285,63,-632,1121,59
2020-05-21T17:00:13,12731,158087,8203,-632,1121,59,-313,977,25
2020-05-22T17:00:14,12418,159064,8228,-313,977,25,-409,652,33
2020-05-23T17:00:15,12009,159716,8261,-409,652,33,-245,565,22
2020-05-24T17:00:16,11764,160281,8283,-245,565,22,-672,918,26
2020-05-25T17:00:17,11092,161199,8309,-672,918,26,-231,768,63
2020-05-26T17:00:18,10861,161967,8372,-231,768,63,-585,853,56
2020-05-27T17:00:19,10276,162820,8428,-585,853,56,90,540,42
2020-05-28T17:00:20,10366,163360,8470,90,540,42,-193,885,34
2020-05-29T17:00:21,10173,164245,8504,-193,885,34,-422,663,26
2020-05-30T17:00:22,9751,164908,8530,-422,663,26,-233,444,10
2020-05-31T17:00:23,9518,165352,8540,-233,444,10,-111,280,15
2020-06-01T17:00:24,9407,165632,8555,-111,280,15,-700,977,8
2020-06-02T17:00:25,8707,166609,8563,-700,977,8,-641,844,39
2020-06-03T17:00:26,8066,167453,8602,-641,844,39,-138,456,33
2020-06-04T17:00:27,7928,167909,8635,-138,456,33,-142,571,23
2020-06-05T17:00:28,7786,168480,8658,-142,571,23,33,478,15
2020-06-06T17:00:29,7819,168958,8673,33,478,15,22,266,12
2020-06-07T17:00:30,7841,169224,8685,22,266,12,17,332,10
2020-06-08T17:00:31,7858,169556,8695,17,332,10,-217,573,41
2020-06-09T17:00:32,7641,170129,8736,-217,573,41,-501,501,16
2020-06-10T17:00:33,7140,170630,8752,-501,501,16,-182,331,20
2020-06-11T17:00:34,6958,170961,8772,-182,331,20,-50,574,11
2020-06-12T17:00:35,6908,171535,8783,-50,574,11,-404,435,10
2020-06-13T17:00:36,6504,171970,8793,-404,435,10,124,119,8
2020-06-14T17:00:37,6628,172089,8801,124,119,8,-445,603,6
2020-06-15T17:00:38,6183,172692,8807,-445,603,6,407,150,13
2020-06-16T17:00:39,6590,172842,8820,407,150,13,-436,757,31
2020-06-17T17:00:40,6154,173599,8851,-436,757,31,941,248,24
2020-06-18T17:00:41,7095,173847,8875,941,248,24,345,125,12
2020-06-19T17:00:42,7440,173972,8887,345,125,12,-274,637,8
2020-06-20T17:00:43,7166,174609,8895,-274,637,8,471,131,0
2020-06-21T17:00:44,7637,174740,8895,471,131,0,89,403,4
2020-06-22T17:00:45,7726,175143,8899,89,403,4,15,682,15
2020-06-23T17:00:46,7741,175825,8914,15,682,15,-220,597,14
2020-06-24T17:00:47,7521,176422,8928,-220,597,14,146,342,12
2020-06-25T17:00:48,7667,176764,8940,146,342,12,255,385,25
2020-06-26T17:00:49,7922,177149,8965,255,385,25,50,369,3
2020-06-27T17:00:50,7972,177518,8968,50,369,3,96,139,0
2020-06-28T17:00:51,8068,177657,8968,96,139,0,228,113,8
2020-06-29T17:00:52,8296,177770,8976,228,113,8,32,330,14
2020-06-30T17:00:53,8328,178100,8990,32,330,14,-530,1000,5
2020-07-01T17:00:24,7798,179100,8995,-530,1000,5,-234,700,11
2020-07-02T17:00:25,7564,179800,9006,-234,700,11,-94,500,4
2020-07-03T17:00:26,7470,180300,9010,-94,500,4,-292,700,10
2020-07-04T17:00:27,7178,181000,9020,-292,700,10,-397,719,3
2020-07-05T17:00:28,6781,181719,9023,-397,719,3,101,441,-1
2020-07-06T17:00:29,6882,182160,9022,101,441,-1,-232,501,10
2020-07-07T17:00:30,6650,182661,9032,-232,501,10,-150,492,14
2020-07-08T17:00:31,6500,183153,9046,-150,492,14,-284,575,11
2020-07-09T17:00:32,6216,183728,9057,-284,575,11,25,300,6
2020-07-10T17:00:33,6241,184028,9063,25,300,6,132,238,7
2020-07-11T17:00:34,6373,184266,9070,132,238,7,61,148,1
2020-07-12T17:00:35,6434,184414,9071,61,148,1,-428,686,3
2020-07-13T17:00:36,6006,185100,9074,-428,686,3,272,0,4
2020-07-14T17:00:37,6278,185100,9078,272,0,4,-468,900,2
2020-07-15T17:00:38,5810,186000,9080,-468,900,2,153,400,7
2020-07-16T17:00:39,5963,186400,9087,153,400,7,94,500,1
2020-07-17T17:00:40,6057,186900,9088,94,500,1,78,300,3
2020-07-18T17:00:41,6135,187200,9091,78,300,3,108,200,1
2020-07-19T17:00:42,6243,187400,9092,108,200,1,-82,670,2
2020-07-20T17:00:43,6161,188070,9094,-82,670,2,236,151,5
2020-07-21T17:00:44,6397,188221,9099,236,151,5,149,407,3
2020-07-22T17:00:45,6546,188628,9102,149,407,3,85,512,8
2020-07-23T17:00:46,6631,189140,9110,85,512,8,176,556,10
2020-07-24T17:00:47,6807,189696,9120,176,556,10,428,223,4
2020-07-25T17:00:48,7235,189919,9124,428,223,4,253,136,0
2020-07-26T17:00:49,7488,190055,9124,253,136,0,185,259,1
2020-07-27T17:00:50,7673,190314,9125,185,259,1,192,397,6
2020-07-28T17:00:51,7865,190711,9131,192,397,6,267,568,4
2020-07-29T17:00:52,8132,191279,9135,267,568,4,708,272,9
2020-07-30T17:00:53,8840,191551,9144,708,272,9,420,441,3
2020-07-31T17:00:54,9260,191992,9147,420,441,3,-45,644,7
2020-08-01T17:00:24,9215,192636,9154,-45,644,7,-57,272,0
2020-08-02T17:00:25,9158,192908,9154,-57,272,0,205,686,0
2020-08-03T17:00:26,9363,193594,9154,205,686,0,129,579,9
2020-08-04T17:00:27,9492,194173,9163,129,579,9,874,395,16
2020-08-05T17:00:28,10366,194568,9179,874,395,16,211,713,2
2020-08-06T17:00:29,10577,195281,9181,211,713,2,489,654,14
2020-08-07T17:00:30,11066,195935,9195,489,654,14,86,615,6
2020-08-08T17:00:31,11152,196550,9201,86,615,6,151,233,1
2020-08-09T17:00:32,11303,196783,9202,151,233,1,620,599,1
2020-08-10T17:00:33,11923,197382,9203,620,599,1,62,965,5
2020-08-11T17:00:34,11985,198347,9208,62,965,5,670,644,5
2020-08-12T17:00:35,12655,198991,9213,670,644,5,755,663,4
2020-08-13T17:00:36,13410,199654,9217,755,663,4,711,786,13
2020-08-14T17:00:37,14121,200440,9230,711,786,13,376,316,5
2020-08-15T17:00:38,14497,200756,9235,376,316,5,88,431,0
2020-08-16T17:00:39,14585,201187,9235,88,431,0,630,1062,1
2020-08-17T17:00:40,15215,202249,9236,630,1062,1,-13,1428,5
2020-08-18T17:00:41,15202,203677,9241,-13,1428,5,801,777,8
2020-08-19T17:00:42,16003,204454,9249,801,777,8,667,905,14
2020-08-20T17:00:43,16670,205359,9263,667,905,14,437,1297,3
2020-08-21T17:00:44,17107,206656,9266,437,1297,3,-124,950,6
2020-08-22T17:00:45,16983,207606,9272,-124,950,6,251,379,3
2020-08-23T17:00:46,17234,207985,9275,251,379,3,959,668,1
2020-08-24T17:00:47,18193,208653,9276,959,668,1,-224,1680,5
2020-08-25T17:00:48,17969,210333,9281,-224,1680,5,65,1358,4
2020-08-26T17:00:49,18034,211691,9285,65,1358,4,338,1218,5
2020-08-27T17:00:50,18372,212909,9290,338,1218,5,278,1277,0
2020-08-28T17:00:51,18650,214186,9290,278,1277,0,96,604,9
2020-08-29T17:00:52,18746,214790,9299,96,604,9,-24,493,1
2020-08-30T17:00:53,18722,215283,9300,-24,493,1,-18,1512,3
2020-08-31T17:00:54,18704,216795,9303,-18,1512,3,-399,1608,4
2020-09-01T17:00:24,18305,218403,9307,-399,1608,4,-120,1501,15
2020-09-02T17:00:25,18185,219904,9322,-120,1501,15,-192,1621,0
2020-09-03T17:00:26,17993,221525,9322,-192,1621,0,161,1277,5
2020-09-04T17:00:27,18154,222802,9327,161,1277,5,5,768,2
2020-09-05T17:00:28,18159,223570,9329,5,768,2,24,645,1
2020-09-06T17:00:29,18183,224215,9330,24,645,1,408,1489,1
2020-09-07T17:00:30,18591,225704,9331,408,1489,1,-349,1675,5
2020-09-08T17:00:31,18242,227379,9336,-349,1675,5,65,1405,6
2020-09-09T17:00:32,18307,228784,9342,65,1405,6,214,1499,3
2020-09-10T17:00:33,18521,230283,9345,214,1499,3,517,1066,3
