data,D,R,A,D_in,R_in,A_in,D_in_next,R_in_next,A_in_next
2020-02-25T18:00:00,311,1,10,90,0,3,127,2,2
2020-02-26T18:00:00,438,3,12,127,2,2,155,42,5
2020-02-27T18:00:00,593,45,17,155,42,5,228,1,4
2020-02-28T18:00:00,821,46,21,228,1,4,232,0,8
2020-02-29T17:00:00,1053,46,29,232,0,8,524,37,5
2020-03-01T17:00:00,1577,83,34,524,37,5,258,66,18
2020-03-02T18:00:00,1835,149,52,258,66,18,428,11,27
2020-03-03T18:00:00,2263,160,79,428,11,27,443,116,28
2020-03-04T17:00:00,2706,276,107,443,116,28,590,138,41
2020-03-05T17:00:00,3296,414,148,590,138,41,620,109,49
2020-03-06T17:00:00,3916,523,197,620,109,49,1145,66,36
2020-03-07T18:00:00,5061,589,233,1145,66,36,1326,33,133
2020-03-08T18:00:00,6387,622,366,1326,33,133,1598,102,97
2020-03-09T18:00:00,7985,724,463,1598,102,97,809,0,168
2020-03-10T18:00:00,8794,724,631,809,0,168,1796,321,196
2020-03-11T17:00:00,10590,1045,827,1796,321,196,2462,0,189
2020-03-12T17:00:00,13052,1045,1016,2462,0,189,1903,394,250
2020-03-13T17:00:00,14955,1439,1266,1903,394,250,2795,527,175
2020-03-14T17:00:00,17750,1966,1441,2795,527,175,2853,369,368
2020-03-15T17:00:00,20603,2335,1809,2853,369,368,2470,414,349
2020-03-16T17:00:00,23073,2749,2158,2470,414,349,2989,192,345
2020-03-17T17:00:00,26062,2941,2503,2989,192,345,2648,1084,475
2020-03-18T17:00:00,28710,4025,2978,2648,1084,475,4480,415,427
2020-03-19T17:00:00,33190,4440,3405,4480,415,427,5359,0,627
2020-03-20T17:00:00,38549,4440,4032,5359,0,627,4132,1632,793
2020-03-21T17:00:00,42681,6072,4825,4132,1632,793,3957,952,651
2020-03-22T17:00:00,46638,7024,5476,3957,952,651,4188,0,601
2020-03-23T17:00:00,50826,7024,6077,4188,0,601,3204,1302,743
2020-03-24T17:00:00,54030,8326,6820,3204,1302,743,3491,1036,683
2020-03-25T17:00:00,57521,9362,7503,3491,1036,683,4492,999,712
2020-03-26T17:00:00,62013,10361,8215,4492,999,712,4401,589,919
2020-03-27T17:00:00,66414,10950,9134,4401,589,919,3651,1434,889
2020-03-28T17:00:00,70065,12384,10023,3651,1434,889,3815,646,756
2020-03-29T17:00:00,73880,13030,10779,3815,646,756,1648,1590,812
2020-03-30T17:00:00,75528,14620,11591,1648,1590,812,2107,1109,837
2020-03-31T17:00:00,77635,15729,12428,2107,1109,837,2937,1118,727
2020-04-01T17:00:00,80572,16847,13155,2937,1118,727,2477,1431,760
2020-04-02T17:00:00,83049,18278,13915,2477,1431,760,2339,1480,766
2020-04-03T17:00:00,85388,19758,14681,2339,1480,766,2886,1238,681
2020-04-04T17:00:00,88274,20996,15362,2886,1238,681,2972,819,525
2020-04-05T17:00:00,91246,21815,15887,2972,819,525,1941,1022,636
2020-04-06T17:00:00,93187,22837,16523,1941,1022,636,880,1555,604
2020-04-07T17:00:00,94067,24392,17127,880,1555,604,1195,2099,542
2020-04-08T17:00:00,95262,26491,17669,1195,2099,542,1615,1979,610
2020-04-09T17:00:01,96877,28470,18279,1615,1979,610,1396,1985,570
2020-04-10T17:00:02,98273,30455,18849,1396,1985,570,1996,2079,619
2020-04-11T17:00:03,100269,32534,19468,1996,2079,619,1984,1677,431
2020-04-12T17:00:04,102253,34211,19899,1984,1677,431,1363,1224,566
2020-04-13T17:00:05,103616,35435,20465,1363,1224,566,675,1695,602
2020-04-14T17:00:06,104291,37130,21067,675,1695,602,1127,962,578
2020-04-15T17:00:07,105418,38092,21645,1127,962,578,1189,2072,525
2020-04-16T17:00:08,106607,40164,22170,1189,2072,525,355,2563,575
2020-04-17T17:00:09,106962,42727,22745,355,2563,575,809,2200,482
2020-04-18T17:00:10,107771,44927,23227,809,2200,482,486,2128,433
2020-04-19T17:00:11,108257,47055,23660,486,2128,433,-20,1822,454
2020-04-20T17:00:12,108237,48877,24114,-20,1822,454,-528,2723,534
2020-04-21T17:00:13,107709,51600,24648,-528,2723,534,-10,2943,437
2020-04-22T17:00:14,107699,54543,25085,-10,2943,437,-851,3033,464
2020-04-23T17:00:15,106848,57576,25549,-851,3033,464,-321,2922,420
2020-04-24T17:00:16,106527,60498,25969,-321,2922,420,-680,2622,415
2020-04-25T17:00:17,105847,63120,26384,-680,2622,415,256,1808,260
2020-04-26T17:00:18,106103,64928,26644,256,1808,260,-290,1696,333
2020-04-27T17:00:19,105813,66624,26977,-290,1696,333,-608,2317,382
2020-04-28T17:00:20,105205,68941,27359,-608,2317,382,-548,2311,323
2020-04-29T17:00:21,104657,71252,27682,-548,2311,323,-3106,4693,285
2020-04-30T17:00:22,101551,75945,27967,-3106,4693,285,-608,2304,269
2020-05-01T17:00:00,100943,78249,28236,-608,2304,269,-239,1665,474
2020-05-02T17:00:00,100704,79914,28710,-239,1665,474,-525,1740,174
2020-05-03T17:00:00,100179,81654,28884,-525,1740,174,-199,1225,195
2020-05-04T17:00:00,99980,82879,29079,-199,1225,195,-1513,2352,236
2020-05-05T17:00:00,98467,85231,29315,-1513,2352,236,-6939,8014,369
2020-05-06T17:00:00,91528,93245,29684,-6939,8014,369,-1904,3031,274
2020-05-07T17:00:00,89624,96276,29958,-1904,3031,274,-1663,2747,243
2020-05-08T17:00:00,87961,99023,30201,-1663,2747,243,-3119,4008,194
2020-05-09T17:00:01,84842,103031,30395,-3119,4008,194,-1518,2155,165
2020-05-10T17:00:02,83324,105186,30560,-1518,2155,165,-836,1401,179
2020-05-11T17:00:03,82488,106587,30739,-836,1401,179,-1222,2452,172
2020-05-12T17:00:04,81266,109039,30911,-1222,2452,172,-2809,3502,195
2020-05-13T17:00:05,78457,112541,31106,-2809,3502,195,-2017,2747,262
2020-05-14T17:00:06,76440,115288,31368,-2017,2747,262,-4370,4917,242
2020-05-15T17:00:07,72070,120205,31610,-4370,4917,242,-1883,2605,153
2020-05-16T17:00:08,70187,122810,31763,-1883,2605,153,-1836,2366,145
2020-05-17T17:00:09,68351,125176,31908,-1836,2366,145,-1798,2150,99
2020-05-18T17:00:10,66553,127326,32007,-1798,2150,99,-1424,2075,162
2020-05-19T17:00:11,65129,129401,32169,-1424,2075,162,-2377,2881,161
2020-05-20T17:00:12,62752,132282,32330,-2377,2881,161,-1792,2278,156
2020-05-21T17:00:13,60960,134560,32486,-1792,2278,156,-1638,2160,130
2020-05-22T17:00:14,59322,136720,32616,-1638,2160,130,-1570,2120,119
2020-05-23T17:00:15,57752,138840,32735,-1570,2120,119,-1158,1639,50
