data,D,R,A,D_in,R_in,A_in,D_in_next,R_in_next,A_in_next
2020-02-25T18:00:00,0,2,0,0,2,0,0,0,0
2020-02-26T18:00:00,0,2,0,0,0,0,0,0,0
2020-02-27T18:00:00,0,2,0,0,0,0,0,0,0
2020-02-28T18:00:00,0,2,0,0,0,0,0,0,0
2020-02-29T17:00:00,0,2,0,0,0,0,0,0,0
2020-03-01T17:00:00,0,2,0,0,0,0,1,0,0
2020-03-02T18:00:00,1,2,0,1,0,0,0,0,0
2020-03-03T18:00:00,1,2,0,0,0,0,0,0,0
2020-03-04T17:00:00,1,2,0,0,0,0,1,0,0
2020-03-05T17:00:00,2,2,0,1,0,0,9,0,0
2020-03-06T17:00:00,11,2,0,9,0,0,0,0,0
2020-03-07T18:00:00,11,2,0,0,0,0,3,1,0
2020-03-08T18:00:00,14,3,0,3,1,0,0,0,0
2020-03-09T18:00:00,14,3,0,0,0,0,3,0,0
2020-03-10T18:00:00,17,3,0,3,0,0,0,0,0
2020-03-11T17:00:00,17,3,0,0,0,0,8,0,0
2020-03-12T17:00:00,25,3,0,8,0,0,17,0,0
2020-03-13T17:00:00,42,3,0,17,0,0,9,5,0
2020-03-14T17:00:00,51,8,0,9,5,0,4,0,0
2020-03-15T17:00:00,55,8,0,4,0,0,27,0,0
2020-03-16T17:00:00,82,8,0,27,0,0,24,0,0
2020-03-17T17:00:00,106,8,0,24,0,0,33,0,0
2020-03-18T17:00:00,139,8,0,33,0,0,50,1,1
2020-03-19T17:00:00,189,9,1,50,1,1,54,0,0
2020-03-20T17:00:00,243,9,1,54,0,0,50,3,0
2020-03-21T17:00:00,293,12,1,50,3,0,57,4,0
2020-03-22T17:00:00,350,16,1,57,4,0,71,0,0
2020-03-23T17:00:00,421,16,1,71,0,0,51,6,0
2020-03-24T17:00:00,472,22,1,51,6,0,154,7,2
2020-03-25T17:00:00,626,29,3,154,7,2,173,9,0
2020-03-26T17:00:00,799,38,3,173,9,0,188,7,1
2020-03-27T17:00:00,987,45,4,188,7,1,224,4,0
2020-03-28T17:00:00,1211,49,4,224,4,0,251,15,4
2020-03-29T17:00:00,1462,64,8,251,15,4,299,2,1
2020-03-30T17:00:00,1761,66,9,299,2,1,438,55,8
2020-03-31T17:00:00,2199,121,17,438,55,8,364,69,7
2020-04-01T17:00:00,2563,190,24,364,69,7,720,45,6
2020-04-02T17:00:00,3283,235,30,720,45,6,551,46,4
2020-04-03T17:00:00,3834,281,34,551,46,4,521,52,9
2020-04-04T17:00:00,4355,333,43,521,52,9,634,22,2
2020-04-05T17:00:00,4989,355,45,634,22,2,901,51,2
2020-04-06T17:00:00,5890,406,47,901,51,2,1055,88,11
2020-04-07T17:00:00,6945,494,58,1055,88,11,1084,86,5
2020-04-08T17:00:00,8029,580,63,1084,86,5,1328,118,13
2020-04-09T17:00:01,9357,698,76,1328,118,13,1671,97,18
2020-04-10T17:00:02,11028,795,94,1671,97,18,1405,250,12
2020-04-11T17:00:03,12433,1045,106,1405,250,12,1916,246,24
2020-04-12T17:00:04,14349,1291,130,1916,246,24,2361,179,18
2020-04-13T17:00:05,16710,1470,148,2361,179,18,2528,224,22
2020-04-14T17:00:06,19238,1694,170,2528,224,22,3068,292,28
2020-04-15T17:00:07,22306,1986,198,3068,292,28,3096,318,34
2020-04-16T17:00:08,25402,2304,232,3096,318,34,3743,286,41
2020-04-17T17:00:09,29145,2590,273,3743,286,41,4278,467,40
2020-04-18T17:00:10,33423,3057,313,4278,467,40,5778,234,48
2020-04-19T17:00:11,39201,3291,361,5778,234,48,4069,155,44
2020-04-20T17:00:12,43270,3446,405,4069,155,44,5164,427,51
2020-04-21T17:00:13,48434,3873,456,5164,427,51,4632,547,57
