data,D,R,A,D_in,R_in,A_in,D_in_next,R_in_next,A_in_next
2020-02-25T18:00:00,1,0,0,1,0,0,0,0,0
2020-02-26T18:00:00,1,0,0,0,0,0,7,0,0
2020-02-27T18:00:00,8,0,0,7,0,0,0,0,0
2020-02-28T18:00:00,8,0,0,0,0,0,10,0,0
2020-02-29T17:00:00,18,0,0,10,0,0,9,0,0
2020-03-01T17:00:00,27,0,0,9,0,0,15,0,0
2020-03-02T18:00:00,42,0,0,15,0,0,12,2,0
2020-03-03T18:00:00,54,2,0,12,2,0,33,1,0
2020-03-04T17:00:00,87,3,0,33,1,0,23,0,1
2020-03-05T17:00:00,110,3,1,23,0,1,100,0,0
2020-03-06T17:00:00,210,3,1,100,0,0,54,0,0
2020-03-07T18:00:00,264,3,1,54,0,0,68,0,1
2020-03-08T18:00:00,332,3,2,68,0,1,37,0,0
2020-03-09T18:00:00,369,3,2,37,0,0,116,0,1
2020-03-10T18:00:00,485,3,3,116,0,1,159,1,1
2020-03-11T17:00:00,644,4,4,159,1,1,0,0,0
2020-03-12T17:00:00,644,4,4,0,0,0,480,0,7
2020-03-13T17:00:00,1124,4,11,480,0,7,218,0,2
2020-03-14T17:00:00,1342,4,13,218,0,2,840,0,1
2020-03-15T17:00:00,2182,4,14,840,0,1,0,0,0
2020-03-16T17:00:00,2182,4,14,0,0,0,487,0,13
2020-03-17T17:00:00,2669,4,27,487,0,13,316,11,1
2020-03-18T17:00:00,2985,15,28,316,11,1,1034,0,13
2020-03-19T17:00:00,4019,15,41,1034,0,13,1206,0,13
2020-03-20T17:00:00,5225,15,54,1206,0,13,1260,0,21
2020-03-21T17:00:00,6485,15,75,1260,0,21,760,116,23
2020-03-22T17:00:00,7245,131,98,760,116,23,1299,0,22
2020-03-23T17:00:00,8544,131,120,1299,0,22,1080,0,2
2020-03-24T17:00:00,9624,131,122,1080,0,2,989,0,31
2020-03-25T17:00:00,10613,131,153,989,0,31,876,0,38
